nazev_zastavky;poslední_zastavka;zpozdeni;linka
Černice, mlékárna;Černice;0.338461538;14
H.Jiřetín,požární zbrojnice;H.Jiřetín,rozcestí;0.339449541;14
1.náměstí;Obchodní dům PRIOR;0.339849624;30
Souš,Tvrzova;Souš,Národního odboje;0.340425532;12
Litvínov,Citadela;Litvínov,sportovní škola;0.341935484;13
1.náměstí;Čs.mládeže;0.346153846;31
Sukova,blok 508;Sukova,blok 501;0.352;5
Chanov,otočka;Obrnice,koupaliště;0.355555556;10
Vodárna;Kahan;0.362068966;5
Hamr,škola;Hamr,sídliště;0.36318408;13
Rudolice,rozcestí;Rudolice,u mostu;0.363636364;10
Horní Lom;Loučná;0.363636364;13
Lom,Horní Lom,rozcestí;Loučná;0.363636364;13
Litvínov,Krušnohor;Litvínov,požární stanice;0.363636364;15
Benedikt;Zázvorová;0.366666667;5
Komořany,tábor 7;Komořany;0.366666667;12
Obchodní dům PRIOR;1.náměstí;0.369294606;17
Krym;Pod Lajsníkem;0.374045802;20
Krym;Sukova,blok 558;0.374655647;30
Janov,pekárny;Janov;0.375;14
Komořany,tábor 7;Komořany,KSK;0.378378378;12
Pod Lajsníkem;Krym;0.378378378;20
Nádraží;Rudolická,MUS;0.37962963;22
Čs.armády;Sportovní hala;0.381818182;17
J.Skupy;Nemocnice;0.384030418;30
Litvínov,u dílen;Litvínov,stadion;0.384615385;1
Most,Souš;Most,zimní stadion;0.384615385;4
Lom,Geologický průzkum;Lom,Horní Lom,rozcestí;0.384615385;13
Most,TESCO;Most,zimní stadion;0.38647343;2
Most,obchodní dům PRIOR;Most,sportovní hala;0.388059701;2
Rudolická,MUS;Nádraží;0.388349515;22
Kahan;Aquadrom;0.388888889;18
Speciální škola;14.ZŠ;0.389380531;17
Dům peněžnictví;Speciální škola;0.39047619;17
Rudolická,MUS;Pod Lajsníkem;0.391304348;5
Litvínov,obchodní dům;Litvínov,poliklinika;0.399371069;4
Most,zimní stadion;Most,sportovní hala;0.4;1
Litvínov,u dílen;Litvínov,Citadela;0.4;1
Hamr,škola;Hamr,sídliště;0.4;14
Litvínov,Šumná;Litvínov,Šumná,průmyslový areál;0.4;27
Litvínov,Technické služby;Litvínov,stadion;0.4;40
18.ZŠ;Vodárna;0.402061856;5
Halasova;1.náměstí;0.402985075;16
Litvínov,Báňské stavby;Záluží,areál Hlubina;0.403141361;4
Okresní soud;Obchodní dům PRIOR;0.403846154;22
Nádraží;Rudolická,MUS;0.404040404;30
Obrnice,škola;Obrnice,sídliště;0.404761905;10
Hamr,škola;Hamr,sídliště;0.409448819;13
Obchodní dům PRIOR;J.Skupy;0.410526316;22
Litvínov,Šumná,průmyslový areál;Litvínov,Šumná;0.411764706;27
Litvínov,Partyzán;Meziboří,městský úřad;0.412140575;23
Záluží,Petrochemie;Záluží,areál Hlubina;0.413043478;1
Havraň,škola;Havraň;0.413793103;31
Krym;Sukova,blok 501;0.417266187;5
Záluží,Důl Julius IV;Záluží,Zdravotní středisko;0.418367347;4
Krym;Pod Lajsníkem;0.418918919;5
Obchodní dům PRIOR;1.náměstí;0.421836228;30
Obrnice,koupaliště;Chanov,otočka;0.426229508;10
J.Skupy;Obchodní dům PRIOR;0.426470588;12
Most,Dopravní podnik;Most,Severografia;0.428571429;2
Kahan;Zd.Štěpánka;0.428571429;12
H.Jiřetín,pekařství;H.Jiřetín,pošta;0.428571429;14
Most,obchodní dům PRIOR;Most,1. náměstí;0.428571429;40
Litvínov,Máj;Litvínov,Máj,věžové domy;0.428571429;60
Velebudice,rozcestí;Dopravní podnik;0.429447853;9
Autodrom;Pod Resslem;0.431818182;12
Nové krematorium;Za Krematoriem;0.433628319;16
Most,Severografia;Most,Dopravní podnik;0.435483871;2
Záluží,Petrochemie;Záluží,areál Hlubina;0.444444444;3
Obchodní dům PRIOR;J.Skupy;0.445205479;17
Hamr,sídliště;Hamr;0.448818898;13
